Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
134,661.7886963,898.4296875,5.648826787,549.0933838,831.6942749,5.053998647,525.8677368,848.1973877,4.275202564,538.8751221,836.4868164,3.015157578,651.3815308,889.7409058,2.35566206
135,661.2592773,891.3355103,7.113904358,548.8703003,827.2145386,4.485287484,525.9428711,845.5820313,2.616435456,539.0093384,833.1912231,3.298325176,651.3149414,884.8894653,4.851897401
136,662.7444458,884.1697998,7.318000518,552.3590088,823.7561646,4.912375989,525.562439,839.9663086,5.628593924,539.1617432,829.2449341,3.949230885,653.3496704,880.4439087,4.889079255
137,661.4093018,878.4343872,5.888766193,552.5507202,816.8788452,6.879990881,526.1977539,836.0941772,3.923904465,539.6299438,824.2078857,5.058761494,653.0494385,873.4293823,7.020948609
138,664.258728,871.2872314,7.694222868,554.6774292,813.4768677,4.012024711,527.0910034,831.3376465,4.839677632,541.5577393,820.1931763,4.453570174,651.9368896,867.5281372,6.005202647
139,661.5901489,864.5089722,7.284649151,555.0795898,810.4819946,3.021754085,529.3925171,826.5786743,5.286282368,543.2947388,816.3283081,4.237260109,651.1696167,861.5049438,6.071866766
140,661.2059937,859.7617188,4.762771282,557.0047607,803.4817505,7.260144697,530.9550781,821.0216675,5.772514354,543.4661865,811.4591675,4.872158121,650.9494629,855.3482056,6.160673175
141,661.7348633,853.2781982,6.505055054,557.079895,798.9650269,4.517348507,531.7068481,818.0512695,3.064053221,546.0734253,805.6746216,6.344971651,649.5641479,848.3619995,7.122230867
142,661.9296875,848.2557983,5.026177201,559.2470703,795.3586426,4.207452472,530.6358032,815.1734619,3.070653661,545.9379883,799.520874,6.155237786,649.576355,843.2269897,5.135024275
143,661.1848145,841.9940186,6.305927524,563.0566406,792.3225708,4.871402037,533.465332,811.5453491,4.601025507,549.5490112,797.913147,3.952755116,648.4593506,839.7849121,3.61878395
144,661.4630127,836.6962891,5.305028938,564.8598022,789.1619873,3.638774501,534.2294312,805.8122559,5.783788189,549.9564209,793.7081909,4.224646501,646.9607544,835.2716064,4.755598654
145,664.2492065,828.6367798,8.527518159,568.4569092,781.8226929,8.173397156,535.3817139,803.163147,2.888863678,551.7514038,789.079834,4.964237258,645.3439331,828.5645142,6.899217202
